	DURATION	NEW_CAR	USED_CAR	FURNITURE	RADIO_TV	EDUCATION	RETRAINING	AMOUNT	INSTALL_RATE	MALE_DIV	MALE_SINGLE	MALE_MAR_or_WID	CO-APPLICANT	GUARANTOR	REAL_ESTATE	PROP_UNKN_NONE	OTHER_INSTALL	RENT	OWN_RES	NUM_CREDITS	NUM_DEPENDENTS	TELEPHONE	FOREIGN	RESPONSE	CHK_ACCT_0	CHK_ACCT_1	CHK_ACCT_3	HISTORY_1	HISTORY_2	HISTORY_3	HISTORY_4	SAV_ACCT_0	SAV_ACCT_1	SAV_ACCT_2	SAV_ACCT_4	EMPLOYMENT_1	EMPLOYMENT_2	EMPLOYMENT_3	EMPLOYMENT_4	PRESENT_RESIDENT_2	PRESENT_RESIDENT_3	PRESENT_RESIDENT_4	AGE_20-30	AGE_30-40	AGE_40-50	JOB_1	JOB_2	JOB_3
0	6	0	0	0	1	0	0	1169	4	0	1	0	0	0	1	0	0	0	1	2	1	1	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0
1	48	0	0	0	1	0	0	5951	2	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0
2	12	0	0	0	0	1	0	2096	2	0	1	0	0	0	1	0	0	0	1	1	2	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0
3	42	0	0	1	0	0	0	7882	2	0	1	0	0	1	0	0	0	0	0	1	2	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0
4	24	1	0	0	0	0	0	4870	3	0	1	0	0	0	0	1	0	0	0	2	2	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0
5	36	0	0	0	0	1	0	9055	2	0	1	0	0	0	0	1	0	0	0	1	2	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	1	0	0
6	24	0	0	1	0	0	0	2835	3	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0
7	36	0	1	0	0	0	0	6948	2	0	1	0	0	0	0	0	0	1	0	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1
8	12	0	0	0	1	0	0	3059	2	1	0	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0
9	30	1	0	0	0	0	0	5234	4	0	0	1	0	0	0	0	0	0	1	2	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1
10	12	1	0	0	0	0	0	1295	3	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0
11	48	0	0	0	0	0	1	4308	3	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0
12	12	0	0	0	1	0	0	1567	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0
13	24	1	0	0	0	0	0	1199	4	0	1	0	0	0	0	0	0	0	1	2	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0
14	15	1	0	0	0	0	0	1403	2	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0
15	24	0	0	0	1	0	0	1282	4	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0
16	24	0	0	0	1	0	0	2424	4	0	1	0	0	0	0	0	0	0	1	2	1	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0
17	30	0	0	0	0	0	1	8072	2	0	1	0	0	0	0	0	1	0	1	3	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0
18	24	0	1	0	0	0	0	12579	4	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1
19	24	0	0	0	1	0	0	3430	3	0	1	0	0	0	0	0	0	0	1	1	2	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0
20	9	1	0	0	0	0	0	2134	4	0	1	0	0	0	0	0	0	0	1	3	1	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0
21	6	0	0	0	1	0	0	2647	2	0	1	0	0	0	1	0	0	1	0	1	2	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0
22	10	1	0	0	0	0	0	2241	1	0	1	0	0	0	1	0	0	1	0	2	2	0	1	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0
23	12	0	1	0	0	0	0	1804	3	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0
24	10	0	0	1	0	0	0	2069	2	0	0	1	0	0	0	0	0	0	1	2	1	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0
25	6	0	0	1	0	0	0	1374	1	0	1	0	0	0	1	0	1	0	1	1	1	1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0
26	6	0	0	0	1	0	0	426	4	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0
27	12	0	0	0	1	0	0	409	3	0	0	0	0	0	1	0	0	1	0	2	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0
28	7	0	0	0	1	0	0	2415	3	0	1	0	0	1	1	0	0	0	1	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0
29	60	0	0	0	0	0	1	6836	3	0	1	0	0	0	0	1	0	0	1	2	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0
30	18	0	0	0	0	0	1	1913	3	0	0	1	0	0	1	0	1	0	1	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0
31	24	0	0	1	0	0	0	4020	2	0	1	0	0	0	0	0	1	0	1	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0
32	18	1	0	0	0	0	0	5866	2	0	1	0	0	0	0	0	0	0	1	2	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0
33	12	0	0	0	0	0	1	1264	4	0	1	0	0	0	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0
34	12	0	0	1	0	0	0	1474	4	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1
35	45	0	0	0	1	0	0	4746	4	0	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0
36	48	0	0	0	0	1	0	6110	1	0	1	0	0	0	0	1	1	0	0	1	1	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0
37	18	0	0	0	1	0	0	2100	4	0	1	0	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0
38	10	0	0	0	0	0	0	1225	2	0	1	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0
39	9	0	0	0	1	0	0	458	4	0	1	0	0	0	1	0	0	0	1	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0
40	30	0	0	0	1	0	0	2333	4	0	1	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1
41	12	0	0	0	1	0	0	1158	3	1	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0
42	18	0	0	0	0	0	0	6204	2	0	1	0	0	0	1	0	0	0	1	1	2	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0
43	30	0	1	0	0	0	0	6187	1	0	0	1	0	0	0	0	0	1	0	2	1	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0
44	48	0	1	0	0	0	0	6143	4	0	0	0	0	0	0	1	1	0	0	2	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0
45	11	1	0	0	0	0	0	1393	4	0	0	0	0	0	0	0	0	0	1	2	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1
46	36	0	0	0	1	0	0	2299	4	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0
47	6	0	1	0	0	0	0	1352	1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
48	11	1	0	0	0	0	0	7228	1	0	1	0	0	0	0	0	0	0	1	2	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0
49	12	0	0	0	1	0	0	2073	4	0	0	0	1	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0
50	24	0	0	1	0	0	0	2333	4	0	1	0	0	0	0	0	1	0	1	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0
51	27	0	1	0	0	0	0	5965	1	0	1	0	0	0	0	0	0	0	1	2	1	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1
52	12	0	0	0	1	0	0	1262	3	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0
53	18	0	1	0	0	0	0	3378	2	0	1	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0
54	36	1	0	0	0	0	0	2225	4	0	1	0	0	0	0	1	1	0	0	2	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0
55	6	1	0	0	0	0	0	783	1	0	1	0	0	1	1	0	1	0	1	1	2	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0
56	12	0	0	0	1	0	0	6468	2	0	1	0	0	0	0	1	0	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
57	36	0	0	0	1	0	0	9566	2	0	0	0	0	0	0	0	1	0	1	2	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0
58	18	1	0	0	0	0	0	1961	3	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1
59	36	0	0	1	0	0	0	6229	4	0	0	0	1	0	0	1	0	1	0	2	1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0
60	9	0	0	0	0	0	1	1391	2	0	0	1	0	0	1	0	1	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0
61	15	0	0	0	1	0	0	1537	4	0	1	0	0	1	1	0	0	0	1	2	1	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0
62	36	0	0	0	0	0	1	1953	4	0	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1
63	48	0	0	0	0	0	1	14421	2	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0
64	24	0	0	0	1	0	0	3181	4	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0
65	27	0	0	0	0	0	0	5190	4	0	1	0	0	0	0	0	0	0	1	4	2	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0
66	12	0	0	0	1	0	0	2171	2	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0
67	12	1	0	0	0	0	0	1007	4	0	0	1	0	0	1	0	0	0	1	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0
68	36	0	0	0	0	1	0	1819	4	0	1	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0
69	36	0	0	0	1	0	0	2394	4	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	1	0
70	36	0	1	0	0	0	0	8133	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0
71	7	0	0	0	1	0	0	730	4	0	1	0	0	0	0	0	0	1	0	2	1	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1	0	0
72	8	0	0	0	0	0	0	1164	3	0	1	0	0	0	0	1	1	0	0	2	2	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1
73	42	0	0	0	0	0	1	5954	2	0	0	0	0	0	1	0	1	0	1	2	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0
74	36	0	0	0	0	1	0	1977	4	0	1	0	0	0	0	1	0	0	1	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1
75	12	0	1	0	0	0	0	1526	4	0	1	0	0	0	0	1	0	0	0	2	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1
76	42	0	0	0	1	0	0	3965	4	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0
77	11	0	0	0	1	0	0	4771	2	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0
78	54	0	1	0	0	0	0	9436	2	0	1	0	0	0	0	0	0	0	1	1	2	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0
79	30	0	0	1	0	0	0	3832	2	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0
80	24	0	0	0	1	0	0	5943	1	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0
81	15	0	0	0	1	0	0	1213	4	0	1	0	0	0	0	0	1	0	1	1	1	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	1	0
82	18	0	0	0	0	0	1	1568	3	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0
83	24	0	0	0	0	0	0	1755	4	0	0	0	0	1	1	0	0	0	1	1	1	1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0
84	10	0	0	0	1	0	0	2315	3	0	1	0	0	0	1	0	0	0	1	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0
85	12	0	0	0	0	0	1	1412	4	0	0	0	0	1	1	0	0	0	1	2	1	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1
86	18	0	0	1	0	0	0	1295	4	0	0	0	0	0	0	0	0	0	1	2	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0
87	36	0	0	0	0	1	0	12612	1	0	1	0	0	0	0	1	0	0	0	1	2	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0
88	18	1	0	0	0	0	0	2249	4	0	1	0	0	0	0	0	0	0	1	1	2	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1
